key,source,translation,notes
,"Hello I am part of a pay-it-forward group, enabling users who are lacking funds to obtain the goods they desire. It doesn't cost any more than 10 DOS Coin to contribute. Can I count on you today to make a contribution to our cause?","Salut, je fais partie d'un groupe d'entraide qui aide ceux sans fonds à obtenir ce qu'ils veulent. Ça ne coûte pas plus de 10 DOS Coin. Je peux compter sur toi aujourd'hui ?",translated_prefix
,the feds are closing in on me so I'm giving away the shit I have before they seize it all. You are promised to get something worth at least 300 DOS Coin if you contribute 50 to my offshore legal fund. Details provided through private message,"Les feds me collent aux basques, je brade tout avant la saisie. Tu es assuré d'avoir au moins 300 DOS Coin de valeur si tu verses 50 à mon fonds juridique offshore.",translated_prefix
,"This chat was out of control yesterday, it seems fine for now. Did the mods finally do something or what?","Ce chat était hors de contrôle hier, ça a l'air mieux. Les modos ont enfin fait un truc ou quoi ?",translated
,[SHIFT] Run,[SHIFT] Courir,translated
,"We can all agree that having people spam dumb shit is pointless for this chat, right? So why are repeated spammers allowed to be here???","On est d'accord que le spam débile sert à rien ici, non ? Alors pourquoi les spammeurs récidivistes sont encore là ???",translated
,Do people actually talk to each other here or is it mostly about buying or selling?,Les gens se parlent vraiment ici ou c'est surtout du buy/sell ?,translated
,"I'm getting personal threats from a user in here. Yeah, I know you can see this. Curious what moderation has to say about this type of behavior.","Je reçois des menaces perso d'un user ici. Ouais, je sais que tu vois ça. Curieux de voir ce que la modo en dit.",translated_prefix
,I've been here the past couple days and haven't seen a single username I recognize. Is that normal? Anonymous thing or constant influx of new people rolling through?,Je suis là depuis quelques jours et je reconnais aucun pseudo. C'est normal ? Anonymat ou flux constant de nouveaux ?,translated_prefix
,Can't figure out how the hell I'm supposed to buy crap here,J'arrive pas à comprendre comment on est censé acheter de la merde ici,translated
,[TAB] Inventory,[TAB] Inventaire,translated
,"If you don't know what's going, how this chat works, are new here and can't shut up, just get the fuck out and go somewhere else. By staying you're negatively affecting it for the rest of us","Si tu piges rien, t'es nouveau et tu fermes pas ta gueule, casse-toi ailleurs. En restant",translated_prefix
