key,source,translation,priority,notes
,Accept,Accepter,P0,translated
,Apply,Appliquer,P0,translated
,Back,Retour,P0,translated
,Cancel,Annuler,P0,translated
,Close,Fermer,P0,translated
,Confirm,Confirmer,P0,translated
,Connect,Connecter,P0,translated
,Continue,Continuer,P0,translated
,Decline,Refuser,P0,translated
,Disconnect,Déconnecter,P0,translated
,Enter Desk,S'asseoir au bureau,P0,translated
,Exit,Quitter,P0,translated
,Hide,Se cacher,P0,translated
,Install,Installer,P0,translated
,Next,Suivant,P0,translated
,No,Non,P0,translated
,Open,Ouvrir,P0,translated
,Options,Options,P0,translated
,Pause,Pause,P0,translated
,Play,Jouer,P0,translated
,Previous,Précédent,P0,translated
,Quit,Quitter,P0,translated
,RESUME,REPRENDRE,P0,translated
,Retry,Réessayer,P0,translated
,Run,Courir,P0,translated
,Settings,Paramètres,P0,translated
,Skip,Passer,P0,translated
,Start,Démarrer,P0,translated
,Submit,Envoyer,P0,translated
,Take,Prendre,P0,translated
,Yes,Oui,P0,translated
,[SHIFT] Run,[SHIFT] Courir,P0,translated
,[TAB] Inventory,[TAB] Inventaire,P0,translated
,"[W,A,S,D] Move","[Z,Q,S,D] Se déplacer",P0,translated
,!!!! MYSTERY BOX GIVEAWAY ALERT !!!! Tickets to join the giveaway cost only 20 DOS Coin / Ticket. !!!! MYSTERY BOX GIVEAWAY ALERT !!!!,!!!! ALERTE MYSTERY BOX !!!! Les tickets coûtent seulement 20 DOS Coin. !!!! ALERTE MYSTERY BOX !!!!,P1,translated_chat_P1
,!!!!---!!!! MONEY MAKING OPPORTUNITY !!!!---!!!! A SMALL INVESTMENT OF 500 DOS Coin CAN EARN YOU 200% RETURNS IN ONLY 10 MINUTES!!!! CONTACT FOR ADDITIONAL DETAILS,!!!!---!!!! OPPORTUNITÉ DE FRIC !!!!---!!!! UN PETIT INVESTISSEMENT DE 500 DOS Coin PEUT TE RAPPORTER 200% EN 10 MINUTES!!!! CONTACTE POUR PLUS DE DÉTAILS,P1,translated_chat_P1
,$$$ GET YOUR $$$ MONEY UP $$$ 150% CASH BACK ON PURCHASE REAL $$$ MINIMUM 400 DOS COIN $$$,$$$ FAIS GONFLER TON FRIC $$$ 150% CASHBACK SUR ACHAT RÉEL $$$ MINIMUM 400 DOS COIN $$$,P1,translated_chat_P1
,$$$$ EZ MONEY $$$$ SEND 20 DOS Coin -> WAIT ... -> GET 50 DOS Coin. SIMPLE. GO NOW!,$$$$ FRIC FACILE $$$$ ENVOIE 20 DOS Coin -> ATTENDS ... -> REÇOIS 50 DOS Coin. SIMPLE. GO!,P1,translated_chat_P1
,"GET    REP    QUICK    WITH     REPMAXX.EXE     THIS PROGRAM HOOKS INTO THE BACKEND OF ANY CHAT ROOM AND ALLOWS YOU TO CHANGE THE NUMBERS TO WHATEVER YOU WANT. NEED 100 REP? TYPE IT IN AND CLICK ONE BUTTON AND IT'S DONE. WANT 1000 REP, DO THE SAME AND YOU'RE NOW IN THE GAME. THERE IS NOTHING PREVENTING YOUR BUSINESS FROM SUCCEEDING ONCE REPMAXX.EXE IS INSTALLED     GET    REP    QUICK    WITH     REPMAXX.EXE",BOOSTE TA REP AVEC REPMAXX.EXE — LE PROGRAMME SE BRANCHE AU BACKEND DE N'IMPORTE QUEL CHAT ET CHANGE LES CHIFFRES COMME TU VEUX. BESOIN DE 100 REP? TAPE ET CLIQUE,P1,translated_chat_P1
,"Hello I am part of a pay-it-forward group, enabling users who are lacking funds to obtain the goods they desire. It doesn't cost any more than 10 DOS Coin to contribute. Can I count on you today to make a contribution to our cause?","Salut, je fais partie d'un groupe d'entraide qui aide ceux sans fonds à obtenir ce qu'ils veulent. Ça ne coûte pas plus de 10 DOS Coin. Je peux compter sur toi aujourd'hui ?",P1,translated_chat_P1
,"I joined this chat because a friend told me it was filled with people selling fucked up stuff, but apparently I need DOS Coin to buy anything?","J'ai rejoint ce chat parce qu'un pote m'a dit que ça vendait de la merde chelou, mais il faut des DOS Coin pour acheter quoi que ce soit ?",P1,translated_chat_P1
,LAST CHANCE! Roll the dice by entering to win 3000 DOS Coin! Be the 36th participant to win! One entry per user. 50 DOS Coin to enter.,DERNIÈRE CHANCE! Tente de gagner 3000 DOS Coin! Sois le 36e participant! Une inscription / user. 50 DOS Coin pour entrer.,P1,translated_chat_P1
,LAST WEEK I GAVE ONE OF YOU 50000 DOS COIN TO SEE WHAT WOULD HAPPEN. WELL TONIGHT IM UPPING THOSE NUMBERS TO 100000 DOS COIN! DETAILS WILL BE SUPPLIED THROUGH PRIVATE MESSAGE. DO NOT DELAY.,LA SEMAINE DERNIÈRE J'AI DONNÉ 50000 DOS COIN À L'UN D'ENTRE VOUS. CE SOIR JE PASSE À 100000 DOS COIN! DÉTAILS EN MP. NE TARDEZ PAS.,P1,translated_chat_P1
,"Requesting participants for our computer based survey system. Simply download our software and run it, then copy and paste the results in our private chat. Free to join, Payment of 50 DOS Coin on completion.","On cherche des participants pour notre enquête ordi. Télécharge le soft, lance-le, colle les résultats en MP. Gratuit, paiement 50 DOS Coin à la fin.",P1,translated_chat_P1
,Secure a DOS Coin loan in seconds. A small fee to confirm the funds can transfer our ONLY requirement.,Obtiens un prêt en DOS Coin en quelques secondes. Un petit frais pour confirmer le transfert est NOTRE SEULE exigence.,P1,translated_chat_P1
,hey im trying to impress this girl in another chat. can somebody here let me borrow 1000 DOS Coin? ill give it back after. she just thinks i have a lot of money cause i told her that. im serious,hey j'essaie d'impressionner une meuf dans un autre chat. quelqu'un peut me prêter 1000 DOS Coin ? je rembourse après. elle croit que je suis riche parce que je lui ai dit. sérieux,P1,translated_chat_P1
,the feds are closing in on me so I'm giving away the shit I have before they seize it all. You are promised to get something worth at least 300 DOS Coin if you contribute 50 to my offshore legal fund. Details provided through private message,"Les feds me collent aux basques, je brade tout avant la saisie. Tu es assuré d'avoir au moins 300 DOS Coin de valeur si tu verses 50 à mon fonds juridique offshore.",P1,translated_chat_P1
,Resume,Reprendre,P0,translated
,no,non,P0,translated
,yes,oui,P0,translated
,take,prendre,P0,translated
